Random
0.0, 198
0.1, 207
0.2, 210
0.3, 227
0.4, 220
0.5, 238
0.6, 254
0.8, 275
0.9, 288
0.11, 313
0.12, 327
0.13, 320
0.14, 337
0.15, 339
0.16, 354
0.17, 359
0.18, 363
0.19, 372
0.20, 370
0.21, 373
0.22, 379
0.23, 389
0.24, 386
0.25, 394
0.26, 408
0.27, 414
0.29, 426
0.30, 425
0.31, 438
0.32, 444
0.33, 450
0.34, 456
0.35, 461
0.36, 475
0.37, 464
0.38, 476
0.39, 486
0.40, 502
0.41, 489
0.42, 517
0.43, 512
0.44, 515
0.45, 513
0.46, 525
0.47, 526
0.49, 538
0.50, 545
0.51, 548
0.52, 550
0.53, 550
0.54, 577
0.55, 566
0.56, 590
0.57, 588
0.59, 603
0.60, 597
0.61, 608
0.62, 607
0.63, 609
0.64, 620
0.66, 630
0.67, 632
0.68, 638
0.70, 647
0.71, 649
0.73, 659
0.75, 685
0.76, 668
0.78, 684
0.80, 700
0.81, 694
0.83, 699
0.84, 723
0.85, 709
0.86, 709
0.87, 716
0.88, 717
0.89, 726
0.92, 731
0.93, 736
0.94, 734
0.95, 757
0.96, 751
0.97, 750
0.98, 759
0.100, 754
Steffen Modified
0.0, 137
0.1, 139
0.2, 141
0.3, 144
0.4, 140
0.5, 155
0.6, 166
0.8, 198
0.9, 194
0.11, 210
0.12, 184
0.13, 220
0.14, 208
0.15, 238
0.16, 185
0.17, 247
0.18, 247
0.19, 208
0.20, 253
0.21, 243
0.22, 253
0.23, 243
0.24, 253
0.25, 253
0.26, 238
0.27, 245
0.29, 244
0.30, 253
0.31, 249
0.32, 263
0.33, 263
0.34, 252
0.35, 263
0.36, 247
0.37, 264
0.38, 269
0.39, 266
0.40, 269
0.41, 269
0.42, 265
0.43, 267
0.44, 269
0.45, 269
0.46, 269
0.47, 270
0.49, 280
0.50, 271
0.51, 276
0.52, 271
0.53, 271
0.54, 287
0.55, 271
0.56, 286
0.57, 280
0.59, 286
0.60, 283
0.61, 286
0.62, 291
0.63, 288
0.64, 293
0.66, 294
0.67, 293
0.68, 294
0.70, 294
0.71, 293
0.73, 294
0.75, 301
0.76, 309
0.78, 304
0.80, 305
0.81, 309
0.83, 309
0.84, 309
0.85, 309
0.86, 309
0.87, 309
0.88, 309
0.89, 309
0.92, 309
0.93, 309
0.94, 309
0.95, 309
0.96, 309
0.97, 309
0.98, 309
0.100, 309
Back to Front
0.0, 256
0.1, 259
0.2, 285
0.3, 318
0.4, 287
0.5, 315
0.6, 331
0.8, 355
0.9, 373
0.11, 395
0.12, 370
0.13, 381
0.14, 400
0.15, 400
0.16, 391
0.17, 455
0.18, 444
0.19, 449
0.20, 460
0.21, 470
0.22, 473
0.23, 500
0.24, 531
0.25, 510
0.26, 536
0.27, 532
0.29, 531
0.30, 598
0.31, 538
0.32, 598
0.33, 571
0.34, 622
0.35, 618
0.36, 609
0.37, 630
0.38, 625
0.39, 604
0.40, 667
0.41, 633
0.42, 647
0.43, 652
0.44, 662
0.45, 704
0.46, 676
0.47, 709
0.49, 740
0.50, 698
0.51, 729
0.52, 702
0.53, 711
0.54, 755
0.55, 747
0.56, 755
0.57, 749
0.59, 737
0.60, 778
0.61, 784
0.62, 785
0.63, 746
0.64, 790
0.66, 733
0.67, 808
0.68, 737
0.70, 821
0.71, 866
0.73, 839
0.75, 869
0.76, 839
0.78, 853
0.80, 856
0.81, 873
0.83, 885
0.84, 878
0.85, 954
0.86, 908
0.87, 945
0.88, 963
0.89, 957
0.92, 951
0.93, 950
0.94, 967
0.95, 1039
0.96, 1053
0.97, 985
0.98, 1036
0.100, 923
